benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL,true,true,8,UNKNOWN,6149,15,5,8,89.57936507936509,0.8531368102796675,7,0,252,252,188,25,14,0,34,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL,true,true,16,UNKNOWN,4975,16,0,1,39.82389081506727,0.3318657567922273,0,0,493,493,340,0,15,0,119,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL_STALE_FIRST,true,true,8,UNKNOWN,6139,15,5,8,89.57936507936509,0.8531368102796675,7,0,252,252,189,25,14,0,34,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL_STALE_FIRST,true,true,16,UNKNOWN,5181,16,0,1,39.82389081506727,0.3318657567922273,0,0,493,493,340,0,15,0,119,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,true,8,SAFE,5289,14,5,7,75.57936507936509,0.8305424733996164,7,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,true,16,SAFE,8716,22,5,7,150.82389081506727,0.6529172762557025,7,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,true,8,SAFE,5280,14,5,7,75.57936507936509,0.8305424733996164,7,0,223,223,184,20,13,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,true,16,SAFE,8732,22,4,6,149.91479990597637,0.6489818177747895,7,0,700,700,567,20,21,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_STALE_FIRST,true,true,8,SAFE,5687,14,5,7,75.57936507936509,0.8305424733996164,7,0,223,223,184,20,13,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_STALE_FIRST,true,true,16,SAFE,8733,22,5,7,150.82389081506727,0.6529172762557025,7,0,711,711,580,20,21,0,0,1
