benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_triggered_by_first_fill,adaptive_triggered_by_first_fill_or_stale,adaptive_triggered_by_threads_ge_4_first_fill,first_dispatch_in_current_abstraction,adaptive_min_available_slots
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,8,SAFE,4854,21,11,2,190.88948551448553,0.9089975500689788,14,0,0,0,0,0,0,0,0,0,3,16,64,16,0,21.333333333333332,5.333333333333333,3,30,3,FIRST_FILL_OR_STALE,3,4,0,0,0,0,0,3,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,16,SAFE,8193,35,16,0,509.73416909887544,0.8566960825191184,20,0,0,0,0,0,0,0,0,0,3,32,72,32,0,24.0,10.666666666666666,3,34,8,FIRST_FILL_OR_STALE,3,2,0,0,0,0,0,3,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,4,SAFE,3795,14,6,0,87.42284878863826,0.9606906460289919,11,0,0,0,0,0,0,0,0,0,4,10,40,10,0,10.0,2.5,4,21,1,THREADS_GE_,4,3,0,0,0,0,0,0,4,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,8,SAFE,4845,21,12,1,206.09340708311294,0.981397176586252,15,0,0,0,0,0,0,0,0,0,3,17,68,17,0,22.666666666666668,5.666666666666667,3,35,3,THREADS_GE_,3,4,0,0,0,0,0,0,3,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,16,SAFE,8188,35,18,2,574.2635808635812,0.9651488754009768,22,0,0,0,0,0,0,0,0,0,3,32,72,32,0,24.0,10.666666666666666,3,32,10,THREADS_GE_,3,4,0,0,0,0,0,0,3,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,4,SAFE,3896,16,8,0,114.25324675324674,0.9521103896103895,13,0,0,0,0,0,0,0,0,0,9,15,60,15,0,6.666666666666667,1.6666666666666667,7,26,1,ALWAYS_BATCH,9,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,8,SAFE,4622,18,8,0,150.15615218115215,0.9814127593539357,12,0,0,0,0,0,0,0,0,0,5,18,72,18,0,14.4,3.6,5,31,2,ALWAYS_BATCH,5,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,16,SAFE,8380,35,20,0,540.0229603729604,0.9076016140722023,23,0,0,0,0,0,0,0,0,0,7,34,92,34,0,13.142857142857142,4.857142857142857,7,51,5,ALWAYS_BATCH,7,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,4,SAFE,4246,14,6,4,87.8670634920635,0.965572126286412,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,8,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,8,SAFE,5657,22,11,5,216.47204184704182,0.9371084062642503,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,8,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,16,SAFE,7820,37,20,4,613.885397690545,0.9217498463821997,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,6,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,4,SAFE,4296,14,3,9,88.93333333333334,0.9772893772893774,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,8,SAFE,6003,23,11,11,237.9718253968254,0.9406001003827091,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,n/a,0,true,true,16,SAFE,8489,33,15,10,535.3478354978356,1.0139163551095371,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,4,SAFE,5574,17,10,0,132.59285714285716,0.9749474789915967,14,0,0,0,0,0,0,0,0,0,12,16,64,16,0,5.333333333333333,1.3333333333333333,7,29,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,8,SAFE,7281,26,11,0,309.85833333333335,0.9534102564102565,19,0,0,0,0,0,0,0,0,0,13,25,100,25,0,7.6923076923076925,1.9230769230769231,12,50,3,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,n/a,0,true,true,16,SAFE,9555,36,15,0,578.4416666666666,0.9181613756613756,21,0,0,0,0,0,0,0,0,0,11,35,112,35,0,10.181818181818182,3.1818181818181817,11,86,5,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_STALE,STALE_ONLY,0,true,true,4,SAFE,4121,13,5,5,75.43333333333334,0.9670940170940171,10,0,0,0,0,0,0,0,0,0,1,2,8,2,0,8.0,2.0,1,2,1,STALE_ONLY,1,7,0,1,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_STALE,STALE_ONLY,0,true,true,8,SAFE,6620,26,12,11,309.4974386724387,0.9522998112998114,19,0,0,0,0,0,0,0,0,0,2,8,32,8,0,16.0,4.0,2,14,2,STALE_ONLY,2,11,0,2,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_STALE,STALE_ONLY,0,true,true,16,SAFE,8920,33,13,5,474.23124098124094,0.8981652291311382,18,0,0,0,0,0,0,0,0,0,3,12,48,12,0,16.0,4.0,3,27,6,STALE_ONLY,3,5,0,3,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,4,SAFE,5287,17,8,7,132.7,0.9757352941176469,14,0,0,0,0,0,0,0,0,0,2,6,24,6,0,12.0,3.0,2,19,1,FIRST_FILL_ONLY,2,10,0,0,0,0,2,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,8,SAFE,7036,26,12,9,307.0805555555556,0.9448632478632479,19,0,0,0,0,0,0,0,0,0,3,16,64,16,0,21.333333333333332,5.333333333333333,3,35,3,FIRST_FILL_ONLY,3,9,0,0,0,0,3,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,16,SAFE,9795,36,14,7,578.4871212121211,0.9182335257335256,21,0,0,0,0,0,0,0,0,0,4,28,84,28,0,21.0,7.0,4,60,5,FIRST_FILL_ONLY,4,7,0,0,0,0,4,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,4,SAFE,5021,15,6,7,101.59285714285714,0.9675510204081632,12,0,0,0,0,0,0,0,0,0,2,6,24,6,0,12.0,3.0,2,21,1,FIRST_FILL_OR_STALE,2,8,0,0,0,0,0,2,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,8,SAFE,6849,26,12,10,307.8583333333333,0.9472564102564102,19,0,0,0,0,0,0,0,0,0,2,14,56,14,0,28.0,7.0,2,40,3,FIRST_FILL_OR_STALE,2,11,0,0,0,0,0,2,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,16,SAFE,9365,32,12,5,465.1851010101008,0.9378731875203645,18,0,0,0,0,0,0,0,0,0,3,27,72,27,0,24.0,9.0,3,56,9,FIRST_FILL_OR_STALE,3,5,0,0,0,0,0,3,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,4,SAFE,4909,15,8,7,112.59285714285714,1.072312925170068,13,0,0,0,0,0,0,0,0,0,2,6,24,6,0,12.0,3.0,2,19,1,THREADS_GE_,2,9,0,0,0,0,0,0,2,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,8,SAFE,7244,26,13,6,305.84722222222223,0.9410683760683761,19,0,0,0,0,0,0,0,0,0,4,19,76,19,0,19.0,4.75,4,44,2,THREADS_GE_,4,6,0,0,0,0,0,0,4,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,16,SAFE,9762,33,13,7,505.1638888888887,0.9567497895622893,19,0,0,0,0,0,0,0,0,0,3,26,72,26,0,24.0,8.666666666666666,3,51,6,THREADS_GE_,3,7,0,0,0,0,0,0,3,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,4,SAFE,4447,14,9,0,96.59285714285716,1.0614599686028259,12,0,0,0,0,0,0,0,0,0,9,14,56,14,0,6.222222222222222,1.5555555555555556,6,21,1,ALWAYS_BATCH,9,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,8,SAFE,6614,24,11,0,275.85833333333335,0.9994867149758455,18,0,0,0,0,0,0,0,0,0,12,24,96,24,0,8.0,2.0,10,50,2,ALWAYS_BATCH,12,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,16,SAFE,9760,32,11,0,476.14166666666654,0.9599630376344084,18,0,0,0,0,0,0,0,0,0,10,32,100,32,0,10.0,3.2,10,71,6,ALWAYS_BATCH,10,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,4,SAFE,4042,14,4,9,88.93333333333334,0.9772893772893774,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,10,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,8,SAFE,5990,22,11,10,230.60818903318903,0.998303848628524,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,10,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,16,SAFE,8727,35,15,10,538.0621212121213,0.9043060860707921,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,10,0,0,0,0,0,0,0,true,2
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,n/a,0,true,true,4,UNKNOWN,4288,11,5,6,52.4,0.9527272727272728,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,n/a,0,true,true,8,UNKNOWN,6111,15,5,8,89.57936507936509,0.8531368102796675,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,n/a,0,true,true,16,UNKNOWN,4998,16,0,1,39.82389081506727,0.3318657567922273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
