benchmark,mode,stale_tracking,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,8,SAFE,5303,14,5,7,75.57936507936509,0.8305424733996164,7,0,223,223,184,20,13
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,16,SAFE,8815,22,5,7,150.82389081506727,0.6529172762557025,7,0,711,711,580,20,21
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,2,SAFE,6303,7,3,1,20.666666666666668,0.9841269841269842,6,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,4,SAFE,126391,13,7,5,75.4,0.9666666666666668,10,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,8,SAFE,5275,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,16,SAFE,7675,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,2,SAFE,6337,7,3,1,20.666666666666668,0.9841269841269842,6,0,3,3,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,4,SAFE,127042,13,7,5,75.4,0.9666666666666668,10,0,58,58,45,8,7
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,8,SAFE,5479,11,2,4,39.57936507936508,0.7196248196248197,4,0,162,162,128,3,10
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,16,SAFE,8113,19,2,4,90.82389081506727,0.5311338644155981,4,0,594,594,468,3,18
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,PAPER,true,2,SAFE,2652,4,1,2,8.666666666666668,1.4444444444444446,4,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,PAPER,true,4,SAFE,3371,6,1,3,12.4,0.8266666666666667,4,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,PAPER,true,8,SAFE,5311,11,1,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,PAPER,true,16,SAFE,8701,19,1,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS,true,2,SAFE,2617,4,1,2,8.666666666666668,1.4444444444444446,4,0,8,8,4,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS,true,4,SAFE,3581,7,1,3,18.4,0.8761904761904761,4,0,40,40,29,0,5
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS,true,8,SAFE,5309,11,1,4,39.57936507936508,0.7196248196248197,4,0,168,168,132,0,10
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-gauss_sum.i_3-f2583875,LCPS,true,16,SAFE,8744,19,1,4,90.82389081506727,0.5311338644155981,4,0,600,600,474,0,18
