benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,4,UNKNOWN,4287,11,5,5,52.4,0.9527272727272728,7,0,58,58,45,8,7,0,0,1,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,8,UNKNOWN,6128,15,5,8,89.57936507936509,0.8531368102796675,7,0,227,227,189,25,14,0,0,1,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,16,UNKNOWN,5015,16,0,1,39.82389081506727,0.3318657567922273,0,0,463,463,340,0,15,0,0,1,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,BATCH_LCPS,true,true,4,UNKNOWN,4757,12,6,0,63.4,0.9606060606060606,8,0,0,0,0,0,0,0,0,0,9,11,44,11,0,4.888888888888889,1.2222222222222223,3
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,BATCH_LCPS,true,true,8,UNKNOWN,6175,16,6,0,104.57936507936509,0.871494708994709,8,0,0,0,0,0,0,0,0,0,9,15,60,15,0,6.666666666666667,1.6666666666666667,7
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,BATCH_LCPS,true,true,16,UNKNOWN,5634,17,0,0,55.82389081506727,0.4104697854049064,1,0,0,0,0,0,0,0,0,0,2,16,36,16,0,18.0,8.0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,true,4,SAFE,4083,9,2,5,33.4,0.9277777777777777,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,true,8,SAFE,5274,14,5,7,75.57936507936509,0.8305424733996164,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,true,16,SAFE,8502,22,5,7,150.82389081506727,0.6529172762557025,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,true,4,SAFE,4075,9,2,5,33.4,0.9277777777777777,6,0,59,59,44,4,7,0,0,1,0,0,0,0,0,0.0,0.0,0
