benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_min_available_slots
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_SEARCH_FAILED,SEARCH_FAILED_ONLY,0,true,true,4,SAFE,3777,13,5,5,75.50992063492063,0.9680759055759055,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,SEARCH_FAILED_ONLY,0,8,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_SEARCH_FAILED,SEARCH_FAILED_ONLY,0,true,true,8,SAFE,5928,27,17,9,354.91039296960344,1.011140720711121,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,SEARCH_FAILED_ONLY,0,13,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_SEARCH_FAILED,SEARCH_FAILED_ONLY,0,true,true,16,SAFE,7815,37,21,4,613.885397690545,0.9217498463821997,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,SEARCH_FAILED_ONLY,0,6,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_IDLE,IDLE_SLOT_ONLY,0,true,true,4,SAFE,4042,13,7,5,87.50992063492063,1.1219220594220594,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,IDLE_SLOT_ONLY,0,9,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_IDLE,IDLE_SLOT_ONLY,0,true,true,8,SAFE,5063,20,9,3,168.1035298035298,0.8847554200185779,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,IDLE_SLOT_ONLY,0,6,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_IDLE,IDLE_SLOT_ONLY,0,true,true,16,SAFE,7798,37,20,6,617.0954467101528,0.9265697398050343,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,IDLE_SLOT_ONLY,0,8,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,4,SAFE,3829,14,6,0,88.07698412698413,0.9678789464503751,11,0,0,0,0,0,0,0,0,0,9,13,52,13,0,5.777777777777778,1.4444444444444444,7,24,1,ALWAYS_BATCH,9,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,8,SAFE,5046,20,10,0,176.97481962481962,0.931446419077998,13,0,0,0,0,0,0,0,0,0,7,19,76,19,0,10.857142857142858,2.7142857142857144,6,32,2,ALWAYS_BATCH,7,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,16,SAFE,8196,33,16,0,507.26358086358124,0.9607264789082978,20,0,0,0,0,0,0,0,0,0,5,34,80,34,0,16.0,6.8,5,37,8,ALWAYS_BATCH,5,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,4,SAFE,4065,13,6,4,86.8670634920635,1.1136803011803011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,8,0,0,0,0,2
