benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_triggered_by_first_fill,adaptive_triggered_by_first_fill_or_stale,adaptive_triggered_by_threads_ge_4_first_fill,first_dispatch_in_current_abstraction,adaptive_min_available_slots
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,8,SAFE,4842,21,11,2,190.88948551448553,0.9089975500689788,14,0,0,0,0,0,0,0,0,0,3,16,64,16,0,21.333333333333332,5.333333333333333,3,29,2,FIRST_FILL_OR_STALE,3,4,0,0,0,0,0,3,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,16,SAFE,7971,35,17,1,541.7635808635812,0.910527026661481,21,0,0,0,0,0,0,0,0,0,3,32,72,32,0,24.0,10.666666666666666,3,32,9,FIRST_FILL_OR_STALE,3,3,0,0,0,0,0,3,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,4,SAFE,3773,13,5,1,75.07698412698413,0.9625254375254375,10,0,0,0,0,0,0,0,0,0,2,6,24,6,0,12.0,3.0,2,21,1,THREADS_GE_,2,6,0,0,0,0,0,0,2,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,8,SAFE,4843,20,10,0,176.56305491893727,0.9292792364154593,13,0,0,0,0,0,0,0,0,0,4,17,68,17,0,17.0,4.25,3,36,2,THREADS_GE_,4,2,0,0,0,0,0,0,4,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_THREADS_GE_4_FIRST_FILL,THREADS_GE_4_FIRST_FILL,0,true,true,16,SAFE,9270,42,26,1,800.3576825951826,0.929567575604161,29,0,0,0,0,0,0,0,0,0,5,37,104,37,0,20.8,7.4,5,53,5,THREADS_GE_,5,4,0,0,0,0,0,0,5,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,4,SAFE,4289,15,6,0,99.48051948051948,0.9474335188620903,12,0,0,0,0,0,0,0,0,0,8,14,56,14,0,7.0,1.75,7,31,1,ALWAYS_BATCH,8,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,8,SAFE,4833,20,9,0,176.97481962481962,0.931446419077998,13,0,0,0,0,0,0,0,0,0,7,19,76,19,0,10.857142857142858,2.7142857142857144,6,39,2,ALWAYS_BATCH,7,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_ALWAYS,ALWAYS_BATCH,0,true,true,16,SAFE,7769,36,17,0,545.7866272616276,0.8663279797803612,21,0,0,0,0,0,0,0,0,0,5,35,84,35,0,16.8,7.0,5,39,10,ALWAYS_BATCH,5,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,4,SAFE,4013,13,6,5,87.50992063492063,1.1219220594220594,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,9,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_NEVER,NEVER_BATCH,0,true,true,8,SAFE,5664,23,12,5,237.36015373515372,0.9381824258306471,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,8,0,0,0,0,0,0,0,true,2
